357,232U,140,92,2.174*10^9,"alpha,SF",232
358,44Ti,22,22,1.893*10^9,beta+,44
359,193Pt,115,78,1.578*10^9,beta+,193
360,121mSn,71,50,1.385*10^9,"IT,beta-",121
361,150Eu,87,63,1.164*10^9,beta+,150
362,42Ar,24,18,1.038*10^9,beta-,42
363,207Bi,124,83,1.038*10^9,beta+,207
364,178m2Hf,106,72,9.776*10^8,IT,178
365,137Cs,82,55,9.477*10^8,beta-,137
366,243Cm,147,96,9.183*10^8,"alpha,beta+,SF",243
367,90Sr,52,38,9.120*10^8,beta-,90
368,210Pb,128,82,7.006*10^8,"beta-,alpha",210
369,227Ac,138,89,6.871*10^8,"beta-,alpha",227
370,244Cm,148,96,5.712*10^8,"alpha,SF",244
371,145Pm,84,61,5.586*10^8,"beta+,alpha",145
372,93mNb,52,41,5.084*10^8,IT,93
373,241Pu,147,94,4.510*10^8,"beta-,alpha,SF",241
374,113mCd,65,48,4.380*10^8,"beta-,IT",113
375,152Eu,89,63,4.262*10^8,"beta+,beta-",152
376,250Cf,152,98,4.128*10^8,"alpha,SF",250
377,3H,2,1,3.888*10^8,beta-,3
378,85Kr,49,36,3.384*10^8,beta-,85
379,133Ba,77,56,3.319*10^8,beta+,133
380,248Bk,151,97,2.84*10^8,alpha,248
381,154Eu,91,63,2.711*10^8,"beta-, beta+",154
382,194Os,118,76,1.893*10^8,beta-,194
383,228Ra,140,88,1.815*10^8,beta-,228
384,146Pm,85,61,1.745*10^8,"beta+, beta-",146
385,60Co,33,27,1.663*10^8,beta-,60
386,155Eu,92,63,1.500*10^8,beta-,155
387,204Tl,123,81,1.193*10^8,"beta-, beta+",204
388,174Lu,103,71,1.045*10^8,beta+,174
389,101Rh,56,45,1.041*10^8,beta+,101
390,102mRh,57,45,9.152*10^7,"beta+, IT",102
391,208Po,124,84,9.145*10^7,"alpha, beta+",208
392,236Pu,142,94,9.019*10^7,"alpha, SF",236
393,125Sb,74,51,8.705*10^7,beta-,125
394,55Fe,29,26,8.637*10^7,beta+,55
395,252Cf,154,98,8.347*10^7,"alpha, SF",252
396,147Pm,86,61,8.279*10^7,beta-,147
397,22Na,11,11,8.213*10^7,beta+,22
398,134Cs,79,55,6.517*10^7,"beta-, beta+",134
399,171Tm,102,69,6.059*10^7,beta-,171
400,228Th,138,90,6.033*10^7,alpha,228
401,172Hf,100,72,5.901*10^7,beta+,172
402,179Ta,106,73,5.743*10^7,beta+,179
403,173Lu,102,71,4.323*10^7,beta+,173
404,252Es,153,99,4.075*10^7,"alpha, beta+, beta-",252
405,109Cd,61,48,3.986*10^7,beta+,109
406,235Np,142,93,3.422*10^7,"beta+, alpha",235
407,106Ru,62,44,3.228*10^7,beta-,106
408,144Pm,83,61,3.136*10^7,beta+,144
409,145Sm,83,62,2.938*10^7,beta+,145
410,248Cf,150,98,2.881*10^7,"alpha, SF",248
411,249Bk,152,97,2.851*10^7,"beta-, alpha, SF",249
412,49V,26,23,2.843*10^7,beta+,49
413,54Mn,29,25,2.697*10^7,"beta+, beta-",54
414,119m1Sn,69,50,2.534*10^7,IT,119
415,144Ce,86,58,2.462*10^7,beta-,144
416,254Es,155,99,2.382*10^7,"alpha, beta-, SF, beta+",254
417,57Co,30,27,2.348*10^7,beta+,57
418,68Ge,36,32,2.341*10^7,beta+,68
419,143Pm,82,61,2.290*10^7,beta+,143
420,110mAg,63,47,2.158*10^7,"beta-, IT",110
421,65Zn,35,30,2.105*10^7,beta+,65
422,153Gd,89,64,2.077*10^7,beta+,153
423,102Rh,57,45,1.788*10^7,"beta+, beta-",102
424,195Au,116,79,1.608*10^7,beta+,195
425,194mIr,117,77,1.477*10^7,beta-,194
426,184mRe,109,75,1.460*10^7,"IT, beta+",184
427,242Cm,146,96,1.407*10^7,"alpha, SF",242
428,45Ca,25,20,1.405*10^7,beta-,45
429,177mLu,106,71,1.386*10^7,"beta-, IT",177
430,121mTe,69,52,1.331*10^7,"IT, beta+",121
431,159Dy,93,66,1.248*10^7,beta+,159
432,174m1Lu,103,71,1.227*10^7,"IT, EC",174
433,210Po,126,84,1.196*10^7,alpha,210
434,139Ce,81,58,1.189*10^7,beta+,139
435,123Sn,73,50,1.116*10^7,beta-,123
